T	NOAA NCDC DAILY FSOD AWND
julian_day	mph
   5.9444482E-41	    5.500000    
   5.9445883E-41	    8.900001    
   5.9447285E-41	    6.400000    
   5.9448686E-41	    5.900000    
   5.9450087E-41	    4.700000    
   5.9451489E-41	    4.300000    
   5.9452890E-41	    9.500000    
   5.9454291E-41	    7.100000    
   5.9455693E-41	    7.700000    
   5.9457094E-41	    12.90000    
   5.9458495E-41	    10.40000    
   5.9459896E-41	    5.500000    
   5.9461298E-41	    6.500000    
   5.9462699E-41	    7.900000    
   5.9464100E-41	    4.100000    
   5.9465502E-41	    6.100000    
   5.9466903E-41	    5.400000    
   5.9468304E-41	    4.900000    
   5.9469706E-41	    5.700000    
   5.9471107E-41	    7.600000    
   5.9472508E-41	    4.600000    
   5.9473909E-41	    6.000000    
   5.9475311E-41	    4.400000    
   5.9476712E-41	    5.800000    
   5.9478113E-41	    6.300000    
   5.9479515E-41	    11.00000    
   5.9480916E-41	    13.80000    
   5.9482317E-41	    11.90000    
   5.9483719E-41	    13.50000    
   5.9485120E-41	    9.200000    
   5.9486521E-41	    6.100000    
   5.9487922E-41	    15.00000    
   5.9489324E-41	    15.40000    
   5.9490725E-41	    8.100000    
   5.9492126E-41	    8.700000    
   5.9493528E-41	    14.30000    
   5.9494929E-41	    7.800000    
   5.9496330E-41	    6.600000    
   5.9497731E-41	    5.800000    
   5.9499133E-41	    10.40000    
   5.9500534E-41	    6.000000    
   5.9501935E-41	    8.700000    
   5.9503337E-41	    9.100000    
   5.9504738E-41	    5.700000    
   5.9506139E-41	    4.300000    
   5.9507541E-41	    3.100000    
   5.9508942E-41	    7.300000    
   5.9510343E-41	    10.30000    
   5.9511744E-41	    4.300000    
   5.9513146E-41	    7.400000    
   5.9514547E-41	    8.000000    
   5.9515948E-41	    8.600000    
   5.9517350E-41	    7.600000    
   5.9518751E-41	    7.900000    
   5.9520152E-41	    8.300000    
   5.9521554E-41	    7.900000    
   5.9522955E-41	    5.800000    
   5.9524356E-41	    6.800000    
   5.9525757E-41	    12.60000    
   5.9527159E-41	    11.60000    
   5.9528560E-41	    9.300000    
   5.9529961E-41	    5.700000    
   5.9531363E-41	    10.40000    
   5.9532764E-41	    10.20000    
   5.9534165E-41	    7.200000    
   5.9535567E-41	    4.600000    
   5.9536968E-41	    3.800000    
   5.9538369E-41	    5.300000    
   5.9539770E-41	    8.900001    
   5.9541172E-41	    9.800000    
   5.9542573E-41	    9.900001    
   5.9543974E-41	    6.900000    
   5.9545376E-41	    9.200000    
   5.9546777E-41	    6.500000    
   5.9548178E-41	    7.200000    
   5.9549580E-41	    7.100000    
   5.9550981E-41	    9.800000    
   5.9552382E-41	    5.800000    
   5.9553783E-41	    3.500000    
   5.9555185E-41	    6.700000    
   5.9556586E-41	    8.700000    
   5.9557987E-41	    6.200000    
   5.9559389E-41	    7.300000    
   5.9560790E-41	    7.900000    
   5.9562191E-41	    6.900000    
   5.9563593E-41	    6.400000    
   5.9564994E-41	    6.300000    
   5.9566395E-41	    5.100000    
   5.9567796E-41	    5.400000    
   5.9569198E-41	    5.800000    
   5.9570599E-41	    6.100000    
   5.9572000E-41	    5.900000    
   5.9573402E-41	    6.100000    
   5.9574803E-41	    6.800000    
   5.9576204E-41	    8.100000    
   5.9577606E-41	    9.200000    
   5.9579007E-41	    8.000000    
   5.9580408E-41	    6.700000    
   5.9581809E-41	    3.500000    
   5.9583211E-41	    5.000000    
   5.9584612E-41	    5.200000    
   5.9586013E-41	    7.100000    
   5.9587415E-41	    5.400000    
   5.9588816E-41	    8.100000    
   5.9590217E-41	    8.000000    
   5.9591618E-41	    8.700000    
   5.9593020E-41	    7.400000    
   5.9594421E-41	    5.200000    
   5.9595822E-41	    5.900000    
   5.9597224E-41	    6.900000    
   5.9598625E-41	    5.700000    
   5.9600026E-41	    7.100000    
   5.9601428E-41	    11.50000    
   5.9602829E-41	    9.400001    
   5.9604230E-41	    10.90000    
   5.9605631E-41	    8.000000    
   5.9607033E-41	    9.700000    
   5.9608434E-41	    8.200000    
   5.9609835E-41	    9.500000    
